date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:22:52	52421/52421	---M--	200	added ('OK')	text/html	date:Tue,%2016%20May%202023%2012:22:50%20GMT	http://www.royalclub.tw/bbs3/faq.php?sid=db25550c72854578cb53ba86598c166f	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/faqb118.html	(from http://www.royalclub.tw/bbs3/index.php)
20:22:54	56942/56942	U--M--	200	updated ('OK')	application/atom+xml	date:Mon,%2015%20May%202023%2007:31:41%20GMT	http://www.royalclub.tw/bbs3/feed.php	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/feed.php	(from http://www.royalclub.tw/bbs3/index.php)
20:22:54	83/83	---M--	409	error ('Conflict')	text/html	date:Tue,%2016%20May%202023%2012:22:53%20GMT	http://www.royalclub.tw/bbs3/memberlist.php?mode=viewprofile&u=38674&sid=db25550c72854578cb53ba86598c166f	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/memberlist6097.php	(from http://www.royalclub.tw/bbs3/index.php)
20:22:54	48791/48791	---M--	200	added ('OK')	text/html	date:Tue,%2016%20May%202023%2012:22:55%20GMT	http://www.royalclub.tw/bbs3/viewforum.php?f=4&sid=db25550c72854578cb53ba86598c166f	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/viewforum4233.html	(from http://www.royalclub.tw/bbs3/index.php)
20:22:56	19832/19832	---M--	200	added ('OK')	text/html	date:Tue,%2016%20May%202023%2012:22:56%20GMT	http://www.royalclub.tw/bbs3/viewtopic.php?f=4&p=757&sid=db25550c72854578cb53ba86598c166f	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/viewtopic8f13.html	(from http://www.royalclub.tw/bbs3/index.php)
20:22:56	83/83	---M--	409	error ('Conflict')	text/html	date:Tue,%2016%20May%202023%2012:22:57%20GMT	http://www.royalclub.tw/bbs3/memberlist.php?mode=viewprofile&u=12531&sid=db25550c72854578cb53ba86598c166f	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/memberlist1937.php	(from http://www.royalclub.tw/bbs3/index.php)
20:22:57	19008/19008	---M--	200	added ('OK')	text/html	date:Tue,%2016%20May%202023%2012:22:57%20GMT	http://www.royalclub.tw/bbs3/viewforum.php?f=2&sid=db25550c72854578cb53ba86598c166f	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/viewforum83f0.html	(from http://www.royalclub.tw/bbs3/index.php)
20:22:57	14661/14661	---M--	200	added ('OK')	text/html	date:Tue,%2016%20May%202023%2012:22:58%20GMT	http://www.royalclub.tw/bbs3/viewtopic.php?f=2&p=100&sid=db25550c72854578cb53ba86598c166f	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/viewtopicc8d6.html	(from http://www.royalclub.tw/bbs3/index.php)
20:22:58	83/83	---M--	409	error ('Conflict')	text/html	date:Tue,%2016%20May%202023%2012:22:58%20GMT	http://www.royalclub.tw/bbs3/memberlist.php?mode=viewprofile&u=48&sid=db25550c72854578cb53ba86598c166f	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/memberlist2bed.php	(from http://www.royalclub.tw/bbs3/index.php)
20:22:58	14072/14072	---M--	200	added ('OK')	text/html	date:Tue,%2016%20May%202023%2012:22:59%20GMT	http://www.royalclub.tw/bbs3/viewforum.php?f=14&sid=db25550c72854578cb53ba86598c166f	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/viewforumb3d0.html	(from http://www.royalclub.tw/bbs3/index.php)
20:22:59	707/707	U-----	200	untouched ('')	image/gif	etag:%222c3-530976b5cebc0%22	http://www.royalclub.tw/bbs3/images/smilies/icon_lol.gif	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/images/smilies/icon_lol.gif	(from http://www.royalclub.tw/bbs3/index.php)
20:22:59	14671/14671	---M--	200	added ('OK')	text/html	date:Tue,%2016%20May%202023%2012:23:00%20GMT	http://www.royalclub.tw/bbs3/viewtopic.php?f=14&p=145&sid=db25550c72854578cb53ba86598c166f	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/viewtopice5b7.html	(from http://www.royalclub.tw/bbs3/index.php)
20:22:59	83/83	---M--	409	error ('Conflict')	text/html	date:Tue,%2016%20May%202023%2012:23:00%20GMT	http://www.royalclub.tw/bbs3/memberlist.php?mode=viewprofile&u=872&sid=db25550c72854578cb53ba86598c166f	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/memberlistfe57.php	(from http://www.royalclub.tw/bbs3/index.php)
20:23:00	14067/14067	---M--	200	added ('OK')	text/html	date:Tue,%2016%20May%202023%2012:23:01%20GMT	http://www.royalclub.tw/bbs3/viewforum.php?f=8&sid=db25550c72854578cb53ba86598c166f	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/viewforum074d.html	(from http://www.royalclub.tw/bbs3/index.php)
20:23:00	17413/17413	---M--	200	added ('OK')	text/html	date:Tue,%2016%20May%202023%2012:23:01%20GMT	http://www.royalclub.tw/bbs3/viewforum.php?f=13&sid=db25550c72854578cb53ba86598c166f	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/viewforum2fa2.html	(from http://www.royalclub.tw/bbs3/index.php)
20:23:01	13627/13627	---M--	200	added ('OK')	text/html	date:Tue,%2016%20May%202023%2012:23:02%20GMT	http://www.royalclub.tw/bbs3/viewtopic.php?f=13&p=246&sid=db25550c72854578cb53ba86598c166f	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/viewtopic8ac2.html	(from http://www.royalclub.tw/bbs3/index.php)
20:23:02	29008/29008	---M--	200	added ('OK')	text/html	date:Tue,%2016%20May%202023%2012:23:02%20GMT	http://www.royalclub.tw/bbs3/viewforum.php?f=9&sid=db25550c72854578cb53ba86598c166f	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/viewforumbd80.html	(from http://www.royalclub.tw/bbs3/index.php)
20:23:03	14766/14766	---M--	200	added ('OK')	text/html	date:Tue,%2016%20May%202023%2012:23:03%20GMT	http://www.royalclub.tw/bbs3/viewtopic.php?f=9&p=251&sid=db25550c72854578cb53ba86598c166f	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/viewtopic1976.html	(from http://www.royalclub.tw/bbs3/index.php)
20:23:03	22700/22700	---M--	200	added ('OK')	text/html	date:Tue,%2016%20May%202023%2012:23:04%20GMT	http://www.royalclub.tw/bbs3/viewforum.php?f=11&sid=db25550c72854578cb53ba86598c166f	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/viewforum3b43.html	(from http://www.royalclub.tw/bbs3/index.php)
20:23:04	13643/13643	---M--	200	added ('OK')	text/html	date:Tue,%2016%20May%202023%2012:23:04%20GMT	http://www.royalclub.tw/bbs3/viewtopic.php?f=11&p=253&sid=db25550c72854578cb53ba86598c166f	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/viewtopicc1b8.html	(from http://www.royalclub.tw/bbs3/index.php)
20:23:04	83/83	---M--	409	error ('Conflict')	text/html	date:Tue,%2016%20May%202023%2012:23:05%20GMT	http://www.royalclub.tw/bbs3/memberlist.php?mode=viewprofile&u=827&sid=db25550c72854578cb53ba86598c166f	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/memberlist4884.php	(from http://www.royalclub.tw/bbs3/index.php)
20:23:05	7958/7958	---M--	200	added ('OK')	text/html	date:Tue,%2016%20May%202023%2012:23:05%20GMT	http://www.royalclub.tw/bbs3/ucp.php?mode=sendpassword&sid=db25550c72854578cb53ba86598c166f	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/ucp9c3c.html	(from http://www.royalclub.tw/bbs3/index.php)
20:23:05	83/83	---M--	409	error ('Conflict')	text/html	date:Tue,%2016%20May%202023%2012:23:06%20GMT	http://www.royalclub.tw/bbs3/memberlist.php?mode=group&g=5&sid=db25550c72854578cb53ba86598c166f	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/memberlist33bc.php	(from http://www.royalclub.tw/bbs3/index.php)
20:23:05	83/83	---M--	409	error ('Conflict')	text/html	date:Tue,%2016%20May%202023%2012:23:06%20GMT	http://www.royalclub.tw/bbs3/memberlist.php?mode=group&g=4&sid=db25550c72854578cb53ba86598c166f	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/memberlist5316.php	(from http://www.royalclub.tw/bbs3/index.php)
20:23:06	83/83	---M--	409	error ('Conflict')	text/html	date:Tue,%2016%20May%202023%2012:23:06%20GMT	http://www.royalclub.tw/bbs3/memberlist.php?mode=viewprofile&u=57684&sid=db25550c72854578cb53ba86598c166f	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/memberlist0b81.php	(from http://www.royalclub.tw/bbs3/index.php)
20:23:06	7687/7687	---M--	200	added ('OK')	text/html	date:Tue,%2016%20May%202023%2012:23:07%20GMT	http://www.royalclub.tw/bbs3/ucp.php?mode=delete_cookies&sid=db25550c72854578cb53ba86598c166f	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/ucp46ff.html	(from http://www.royalclub.tw/bbs3/index.php)
20:23:06	83/83	---M--	409	error ('Conflict')	text/html	date:Tue,%2016%20May%202023%2012:23:07%20GMT	http://www.royalclub.tw/bbs3/memberlist.php?mode=contactadmin&sid=db25550c72854578cb53ba86598c166f	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/memberlistb2e8.php	(from http://www.royalclub.tw/bbs3/index.php)
20:23:07	44894/44894	U-----	200	untouched ('OK')	application/x-javascript	etag:%22af5e-530976b5cebc0%22	http://www.royalclub.tw/bbs3/assets/javascript/core.js?assets_version=1	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/assets/javascript/core54d3.js	(from http://www.royalclub.tw/bbs3/index.php)
20:23:07	96381/96381	U-----	200	untouched ('OK')	application/x-javascript	etag:%221787d-530976b5cebc0%22	http://www.royalclub.tw/bbs3/assets/javascript/jquery.min.js?assets_version=1	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/assets/javascript/jquery.min54d3.js	(from http://www.royalclub.tw/bbs3/index.php)
20:23:07	23827/23827	U-----	200	untouched ('OK')	application/x-javascript	etag:%225d13-530976b5cebc0%22	http://www.royalclub.tw/bbs3/styles/prosilver/template/forum_fn.js?assets_version=1	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/styles/prosilver/template/forum_fn54d3.js	(from http://www.royalclub.tw/bbs3/index.php)
20:23:07	11798/11798	U-----	200	untouched ('OK')	application/x-javascript	etag:%222e16-530976b5cebc0%22	http://www.royalclub.tw/bbs3/styles/prosilver/template/ajax.js?assets_version=1	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/styles/prosilver/template/ajax54d3.js	(from http://www.royalclub.tw/bbs3/index.php)
20:23:08	22067/22067	U-----	200	untouched ('OK')	text/css	etag:%225633-530976b5cebc0%22	http://www.royalclub.tw/bbs3/styles/prosilver/theme/common.css	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/styles/prosilver/theme/common.css	(from http://www.royalclub.tw/bbs3/styles/prosilver/theme/stylesheet.css?assets_version=1)
20:23:08	83/83	---M--	409	error ('Conflict')	text/html	date:Tue,%2016%20May%202023%2012:23:08%20GMT	http://www.royalclub.tw/bbs3/memberlist.php?mode=team	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/memberlist4bfd.php	(from http://www.royalclub.tw/bbs3/index.php?sid=db25550c72854578cb53ba86598c166f)
20:23:08	3695/3695	U-----	200	untouched ('OK')	text/css	etag:%22e6f-530976b5cebc0%22	http://www.royalclub.tw/bbs3/styles/prosilver/theme/links.css	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/styles/prosilver/theme/links.css	(from http://www.royalclub.tw/bbs3/styles/prosilver/theme/stylesheet.css?assets_version=1)
20:23:08	14210/14210	U-----	200	untouched ('OK')	text/css	etag:%223782-530976b5cebc0%22	http://www.royalclub.tw/bbs3/styles/prosilver/theme/content.css	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/styles/prosilver/theme/content.css	(from http://www.royalclub.tw/bbs3/styles/prosilver/theme/stylesheet.css?assets_version=1)
20:23:08	6072/6072	U-----	200	untouched ('OK')	text/css	etag:%2217b8-530976b5cebc0%22	http://www.royalclub.tw/bbs3/styles/prosilver/theme/buttons.css	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/styles/prosilver/theme/buttons.css	(from http://www.royalclub.tw/bbs3/styles/prosilver/theme/stylesheet.css?assets_version=1)
20:23:09	16348/16348	---M--	200	added ('OK')	text/html	date:Tue,%2016%20May%202023%2012:23:09%20GMT	http://www.royalclub.tw/bbs3/viewtopic.php?f=3&p=758	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/viewtopic871e.html	(from http://www.royalclub.tw/bbs3/index.php?sid=db25550c72854578cb53ba86598c166f)
20:23:09	6009/6009	U-----	200	untouched ('OK')	text/css	etag:%221779-530976b5cebc0%22	http://www.royalclub.tw/bbs3/styles/prosilver/theme/cp.css	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/styles/prosilver/theme/cp.css	(from http://www.royalclub.tw/bbs3/styles/prosilver/theme/stylesheet.css?assets_version=1)
20:23:09	7566/7566	U-----	200	untouched ('OK')	text/css	etag:%221d8e-530976b5cebc0%22	http://www.royalclub.tw/bbs3/styles/prosilver/theme/forms.css	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/styles/prosilver/theme/forms.css	(from http://www.royalclub.tw/bbs3/styles/prosilver/theme/stylesheet.css?assets_version=1)
20:23:09	83/83	---M--	409	error ('Conflict')	text/html	date:Tue,%2016%20May%202023%2012:23:10%20GMT	http://www.royalclub.tw/bbs3/memberlist.php?mode=viewprofile&u=38674	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/memberlistc207.php	(from http://www.royalclub.tw/bbs3/index.php?sid=db25550c72854578cb53ba86598c166f)
20:23:09	27794/27794	U-----	200	untouched ('OK')	text/css	etag:%226c92-530976b5cebc0%22	http://www.royalclub.tw/bbs3/styles/prosilver/theme/colours.css	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/styles/prosilver/theme/colours.css	(from http://www.royalclub.tw/bbs3/styles/prosilver/theme/stylesheet.css?assets_version=1)
20:23:10	9805/9805	U-----	200	untouched ('OK')	text/css	etag:%22264d-530976b5cebc0%22	http://www.royalclub.tw/bbs3/styles/prosilver/theme/imageset.css	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/styles/prosilver/theme/imageset.css	(from http://www.royalclub.tw/bbs3/styles/prosilver/theme/stylesheet.css?assets_version=1)
20:23:10	423/423	U-----	200	untouched ('')	image/gif	etag:%221a7-530976b5cebc0%22	http://www.royalclub.tw/bbs3/styles/prosilver/theme/en/icon_user_online.gif	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/styles/prosilver/theme/en/icon_user_online.gif	(from http://www.royalclub.tw/bbs3/styles/prosilver/theme/en/stylesheet.css?assets_version=1)
20:23:10	83/83	---M--	409	error ('Conflict')	text/html	date:Tue,%2016%20May%202023%2012:23:11%20GMT	http://www.royalclub.tw/bbs3/memberlist.php?mode=viewprofile&u=12531	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/memberlistca87.php	(from http://www.royalclub.tw/bbs3/index.php?sid=db25550c72854578cb53ba86598c166f)
20:23:10	11593/11593	U-----	200	untouched ('OK')	text/html	date:Wed,%2010%20May%202023%2001:36:39%20GMT	http://www.royalclub.tw/bbs3/search.php	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/search.html	(from http://www.royalclub.tw/bbs3/index.php?sid=db25550c72854578cb53ba86598c166f)
20:23:12	41513/41513	U--M--	200	updated ('OK')	text/html	date:Tue,%2016%20May%202023%2012:23:11%20GMT	http://www.royalclub.tw/bbs3/search.php?search_id=unanswered	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/search33a7.html	(from http://www.royalclub.tw/bbs3/index.php?sid=db25550c72854578cb53ba86598c166f)
20:23:12	52421/52421	U-----	200	untouched ('OK')	text/html	date:Wed,%2010%20May%202023%2001:36:42%20GMT	http://www.royalclub.tw/bbs3/faq.php	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/faq.html	(from http://www.royalclub.tw/bbs3/index.php?sid=db25550c72854578cb53ba86598c166f)
20:23:12	12718/12718	U--M--	200	updated ('OK')	text/html	date:Tue,%2016%20May%202023%2012:23:12%20GMT	http://www.royalclub.tw/bbs3/search.php?search_id=active_topics	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/search526f.html	(from http://www.royalclub.tw/bbs3/index.php?sid=db25550c72854578cb53ba86598c166f)
20:23:13	83/83	---M--	409	error ('Conflict')	text/html	date:Tue,%2016%20May%202023%2012:23:13%20GMT	http://www.royalclub.tw/bbs3/memberlist.php?mode=viewprofile&u=48	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/memberlist90d8.php	(from http://www.royalclub.tw/bbs3/index.php?sid=db25550c72854578cb53ba86598c166f)
20:23:13	10015/10015	U-----	200	untouched ('OK')	text/html	date:Wed,%2010%20May%202023%2001:36:43%20GMT	http://www.royalclub.tw/bbs3/ucp.php?mode=register	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/ucp8319.html	(from http://www.royalclub.tw/bbs3/index.php?sid=db25550c72854578cb53ba86598c166f)
20:23:13	9071/9071	U-----	200	untouched ('OK')	text/html	date:Wed,%2010%20May%202023%2001:36:42%20GMT	http://www.royalclub.tw/bbs3/ucp.php?mode=login	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/ucp26c3.html	(from http://www.royalclub.tw/bbs3/index.php?sid=db25550c72854578cb53ba86598c166f)
20:23:13	12304/12304	U--M--	200	updated ('OK')	text/html	date:Tue,%2016%20May%202023%2012:23:14%20GMT	http://www.royalclub.tw/bbs3/viewforum.php?f=1	C:/Users/User/OneDrive/%e6%96%87%e4%bb%b6/GitHub/base/REC_FORUM/www.royalclub.tw/bbs3/viewforum58da.html	(from http://www.royalclub.tw/bbs3/index.php?sid=db25550c72854578cb53ba86598c166f)
